"Well","ROX","FAM","VIC","Marker_name"
"A01","1592.0","1582.0","669.0","M1 (1).txt"
"B01","1637.0","5649.0","981.0","M1 (1).txt"
"C01","1332.0","453.0","1670.0","M1 (1).txt"
"D01","1284.0","466.0","599.0","M1 (1).txt"
"E01","1306.0","577.0","1258.0","M1 (1).txt"
"F01","1337.0","753.0","1612.0","M1 (1).txt"
"G01","1390.0","859.0","1881.0","M1 (1).txt"
"H01","1462.0","1164.0","1994.0","M1 (1).txt"
"I01","1571.0","4282.0","2915.0","M1 (1).txt"
"J01","1333.0","868.0","822.0","M1 (1).txt"
"K01","1241.0","611.0","604.0","M1 (1).txt"
"L01","1241.0","714.0","688.0","M1 (1).txt"
"M01","1311.0","581.0","604.0","M1 (1).txt"
"N01","1512.0","710.0","963.0","M1 (1).txt"
"O01","1315.0","418.0","308.0","M1 (1).txt"
"P01","1174.0","420.0","255.0","M1 (1).txt"
"A02","2335.0","8211.0","1412.0","M1 (1).txt"
"B02","2332.0","5154.0","1120.0","M1 (1).txt"
"C02","1350.0","499.0","1865.0","M1 (1).txt"
"D02","1341.0","488.0","1953.0","M1 (1).txt"
"E02","1241.0","807.0","1429.0","M1 (1).txt"
"F02","1340.0","1067.0","1583.0","M1 (1).txt"
"G02","1408.0","1322.0","2952.0","M1 (1).txt"
"H02","1375.0","1409.0","2474.0","M1 (1).txt"
"I02","1491.0","3816.0","2264.0","M1 (1).txt"
"J02","1451.0","3210.0","1827.0","M1 (1).txt"
"K02","1368.0","2437.0","2071.0","M1 (1).txt"
"L02","1391.0","1798.0","1319.0","M1 (1).txt"
"M02","1290.0","541.0","595.0","M1 (1).txt"
"N02","1414.0","1128.0","1515.0","M1 (1).txt"
"O02","1111.0","403.0","251.0","M1 (1).txt"
"P02","1217.0","417.0","256.0","M1 (1).txt"
"A03","2240.0","4288.0","983.0","M1 (1).txt"
"B03","1844.0","6573.0","1074.0","M1 (1).txt"
"C03","1407.0","524.0","2272.0","M1 (1).txt"
"D03","1382.0","557.0","2472.0","M1 (1).txt"
"E03","1329.0","1169.0","2099.0","M1 (1).txt"
"F03","1409.0","1054.0","2160.0","M1 (1).txt"
"G03","1399.0","1538.0","2470.0","M1 (1).txt"
"H03","1389.0","1450.0","2282.0","M1 (1).txt"
"I03","1428.0","4284.0","2777.0","M1 (1).txt"
"J03","1395.0","3143.0","2544.0","M1 (1).txt"
"K03","1361.0","4189.0","1893.0","M1 (1).txt"
"L03","1384.0","3171.0","1967.0","M1 (1).txt"
"M03","1319.0","449.0","394.0","M1 (1).txt"
"N03","1377.0","1330.0","1455.0","M1 (1).txt"
"O03","1112.0","404.0","249.0","M1 (1).txt"
"P03","1170.0","394.0","255.0","M1 (1).txt"
"A04","2304.0","9169.0","1462.0","M1 (1).txt"
"B04","1699.0","8330.0","1385.0","M1 (1).txt"
"C04","1303.0","458.0","1245.0","M1 (1).txt"
"D04","1363.0","489.0","2542.0","M1 (1).txt"
"E04","1295.0","1220.0","2351.0","M1 (1).txt"
"F04","1302.0","439.0","382.0","M1 (1).txt"
"G04","1294.0","1325.0","2012.0","M1 (1).txt"
"H04","1276.0","1389.0","2264.0","M1 (1).txt"
"I04","1373.0","3455.0","2042.0","M1 (1).txt"
"J04","1316.0","3252.0","2482.0","M1 (1).txt"
"K04","1339.0","2917.0","2095.0","M1 (1).txt"
"L04","1399.0","3729.0","2203.0","M1 (1).txt"
"M04","1378.0","1335.0","1575.0","M1 (1).txt"
"N04","1324.0","1190.0","1306.0","M1 (1).txt"
"O04","1077.0","410.0","237.0","M1 (1).txt"
"P04","1250.0","409.0","272.0","M1 (1).txt"
"A05","2151.0","13914.0","2486.0","M1 (1).txt"
"B05","1566.0","10337.0","1783.0","M1 (1).txt"
"C05","1527.0","2865.0","5541.0","M1 (1).txt"
"D05","1486.0","2877.0","5514.0","M1 (1).txt"
"E05","1233.0","2484.0","926.0","M1 (1).txt"
"F05","1257.0","1501.0","585.0","M1 (1).txt"
"G05","1471.0","4918.0","4847.0","M1 (1).txt"
"H05","1441.0","4090.0","4767.0","M1 (1).txt"
"I05","1250.0","1628.0","494.0","M1 (1).txt"
"J05","1224.0","1713.0","475.0","M1 (1).txt"
"K05","1335.0","8440.0","1357.0","M1 (1).txt"
"L05","1480.0","9470.0","1638.0","M1 (1).txt"
"M05","1684.0","3622.0","5546.0","M1 (1).txt"
"N05","1567.0","3936.0","5031.0","M1 (1).txt"
"O05","1152.0","412.0","254.0","M1 (1).txt"
"P05","1287.0","401.0","282.0","M1 (1).txt"
"A06","2047.0","13213.0","2303.0","M1 (1).txt"
